wavelength_nm,irradiance_W_m2_nm
1284,0.3585
1285,0.3649
1286,0.3685
1287,0.3549
1288,0.3545
1289,0.3344
1290,0.3479
1291,0.3565
1292,0.3121
1293,0.3406
1294,0.3286
1295,0.3311
1296,0.3011
1297,0.2755
1298,0.3168
1299,0.3441
1300,0.2574
1301,0.2589
1302,0.3176
1303,0.2462
1304,0.1865
1305,0.303
1306,0.2986
1307,0.1899
1308,0.2631
1309,0.2973
1310,0.1903
1311,0.2388
1312,0.2397
1313,0.2073
1314,0.1851
1315,0.1672
1316,0.2217
1317,0.2129
1318,0.2428
1319,0.1473
1320,0.1585
1321,0.1936
1322,0.1834
1323,0.1166
1324,0.1448
1325,0.2175
1326,0.1676
1327,0.1531
1328,0.1294
1329,0.07303
1330,0.104
1331,0.04451
1332,0.05012
1333,0.0741
1334,0.0785
1335,0.1123
1336,0.07471
1337,0.06477
1338,0.06824
1339,0.07027
1340,0.07382
1341,0.05771
1342,0.05178
1343,0.02411
1344,0.01609
1345,0.02102
1346,0.004254
1347,0.003529
1348,4.156e-05
1349,0.000206
1350,0.0002584
1351,1.223e-05
1352,2.326e-07
1353,2.866e-09
1354,4.305e-08
1355,4.69e-12
1356,1.488e-09
1357,2.062e-09
1358,6.697e-12
1359,1.774e-14
1360,7.923e-13
1361,6.609e-19
1362,2.433e-22
1363,8.737e-14
1364,1.054e-13
1365,6.551e-25
1366,9.915e-13
1367,2.605e-12
1368,7.388e-31
1369,4.524e-14
1370,4.112e-15
1371,6.442e-17
1372,1.865e-12
1373,2.699e-10
1374,5.955e-09
1375,4.692e-09
1376,4.441e-08
1377,1.69e-08
1378,1.325e-07
1379,8.611e-09
1380,3.124e-09
1381,7.023e-11
1382,9.911e-13
1383,1.06e-14
1384,2.195e-14
1385,8.128e-12
1386,2.271e-13
1387,9.832e-10
1388,1.166e-10
1389,3.535e-08
1390,2.015e-08
1391,1.574e-08
1392,1.404e-09
1393,1.341e-08
1394,2.513e-10
1395,1.032e-12
1396,3.106e-18
1397,3.162e-09
1398,1.053e-07
1399,8.354e-08
1400,1.34e-19
1401,1.126e-17
1402,4.417e-06
1403,2.869e-06
1404,5.68e-07
1405,1.284e-13
1406,5.142e-07
1407,2.786e-07
1408,5.334e-07
1409,4.315e-08
1410,1.989e-07
1411,3.008e-06
1412,7.864e-06
1413,0.0002877
1414,2.077e-07
1415,5.926e-08
1416,0.001834
1417,0.0002625
1418,0.0001351
