wavelength_nm,irradiance_W_m2_nm
1041,0.4359
1042,0.4363
1043,0.4319
1044,0.4339
1045,0.4314
1046,0.4201
1047,0.4265
1048,0.4302
1049,0.4277
1050,0.4249
1051,0.4253
1052,0.4227
1053,0.4213
1054,0.4195
1055,0.4207
1056,0.4193
1057,0.4183
1058,0.414
1059,0.4011
1060,0.4124
1061,0.4027
1062,0.4094
1063,0.4024
1064,0.4099
1065,0.4055
1066,0.4
1067,0.4007
1068,0.3984
1069,0.376
1070,0.3838
1071,0.3979
1072,0.3905
1073,0.385
1074,0.4015
1075,0.3678
1076,0.3938
1077,0.3796
1078,0.3739
1079,0.3886
1080,0.3685
1081,0.3547
1082,0.3705
1083,0.38
1084,0.349
1085,0.3661
1086,0.3222
1087,0.3452
1088,0.3706
1089,0.3491
1090,0.3285
1091,0.3619
1092,0.3641
1093,0.282
1094,0.3275
1095,0.2878
1096,0.2688
1097,0.3585
1098,0.2623
1099,0.2695
1100,0.2449
1101,0.256
1102,0.2313
1103,0.2233
1104,0.2248
1105,0.259
1106,0.1561
1107,0.243
1108,0.178
1109,0.1712
1110,0.2154
1111,0.1211
1112,0.1686
1113,0.08321
1114,0.09359
1115,0.07471
1116,0.04486
1117,0.007495
1118,0.05113
1119,0.01603
1120,0.0185
1121,0.02853
1122,0.006149
1123,0.01699
1124,0.01428
1125,0.02147
1126,0.002339
1127,0.02395
1128,0.008127
1129,0.009137
1130,0.00552
1131,0.07007
1132,0.04977
1133,0.01979
1134,0.0018
1135,0.0008661
1136,0.0131
1137,0.06324
1138,0.04142
1139,0.09548
1140,0.06752
1141,0.03993
1142,0.05199
1143,0.08845
1144,0.01821
1145,0.0186
1146,0.01999
1147,0.002609
1148,0.07368
1149,0.05015
1150,0.02285
1151,0.04162
1152,0.06137
1153,0.06834
1154,0.01906
1155,0.09997
1156,0.08192
1157,0.1102
1158,0.1086
1159,0.1247
1160,0.09662
1161,0.1364
1162,0.1338
1163,0.2422
1164,0.1743
1165,0.166
1166,0.1666
1167,0.1858
1168,0.2013
1169,0.2071
1170,0.2407
1171,0.2349
1172,0.2434
1173,0.2398
1174,0.142
1175,0.2487
1176,0.2819
1177,0.2659
1178,0.1755
1179,0.2895
1180,0.2354
1181,0.2467
1182,0.1433
1183,0.2427
1184,0.221
1185,0.2031
1186,0.2736
1187,0.25
1188,0.1437
1189,0.2245
1190,0.267
1191,0.2357
1192,0.2768
1193,0.2565
1194,0.2713
1195,0.2427
1196,0.2259
1197,0.282
1198,0.2482
1199,0.1795
1200,0.2543
1201,0.2358
1202,0.2469
1203,0.2376
1204,0.1856
1205,0.2533
1206,0.2936
1207,0.2376
1208,0.2493
1209,0.2374
1210,0.2679
1211,0.2406
1212,0.2233
1213,0.2795
1214,0.2346
1215,0.2299
1216,0.2801
1217,0.2674
1218,0.2751
1219,0.2636
1220,0.2753
1221,0.2842
1222,0.2729
1223,0.2655
1224,0.2608
1225,0.2809
1226,0.29
1227,0.2502
1228,0.2906
1229,0.2897
1230,0.2819
1231,0.3006
1232,0.2966
1233,0.2738
1234,0.3029
1235,0.2967
1236,0.3018
1237,0.2929
1238,0.3014
1239,0.2979
1240,0.2977
1241,0.2947
1242,0.2986
1243,0.296
1244,0.2935
1245,0.2953
1246,0.2972
1247,0.2954
1248,0.2943
1249,0.2972
1250,0.2953
1251,0.2925
1252,0.291
1253,0.2893
1254,0.2842
1255,0.2901
1256,0.284
1257,0.2811
1258,0.2859
1259,0.2758
1260,0.277
1261,0.2641
1262,0.2551
1263,0.2563
1264,0.2377
1265,0.2547
1266,0.2484
1267,0.248
1268,0.2377
1269,0.1574
1270,0.2492
1271,0.2605
1272,0.261
1273,0.26
1274,0.2578
1275,0.2652
1276,0.2663
1277,0.2636
1278,0.2753
1279,0.2684
1280,0.2641
1281,0.2601
1282,0.2391
1283,0.26
1284,0.263
1285,0.2678
1286,0.2704
1287,0.2602
1288,0.2599
1289,0.2449
1290,0.255
1291,0.2613
1292,0.2282
1293,0.2494
1294,0.2405
1295,0.2423
1296,0.22
1297,0.201
1298,0.2317
1299,0.252
1300,0.1877
1301,0.1886
1302,0.2322
1303,0.1793
1304,0.1354
1305,0.2213
1306,0.2179
1307,0.1378
1308,0.1918
1309,0.2169
1310,0.1381
1311,0.1738
