wavelength_nm,transmittance
3597.364541,0.869960578947
3602.346106,0.871032243423
3607.326087,0.867063639536
3612.304481,0.862578117203
3617.281286,0.86075106153
3622.2565,0.861302845701
3627.230121,0.854633440792
3632.202146,0.853313408521
3637.172573,0.85278282523
3642.141401,0.847689646008
3647.370015,0.844147620432
3652.335552,0.846236642474
3657.299482,0.835301272041
3662.261804,0.8357331887
3667.222514,0.832589010187
3672.181612,0.829244378386
3677.139094,0.820643986573
3682.094959,0.816242016883
3687.309909,0.819167839542
3692.262447,0.8111724801
3697.21336,0.813493605745
3702.162648,0.805586462988
3707.110307,0.79620753534
3712.056335,0.796497953873
3717.260917,0.789934584909
3722.203592,0.78596389508
3727.144629,0.778740747221
3732.084027,0.782926598376
3737.021783,0.782804428739
3742.217645,0.779086394523
3747.152025,0.775766414293
3752.084756,0.776726510939
3757.015837,0.76881489419
3761.945266,0.770640158397
3767.13235,0.774067476242
3772.058379,0.775075693117
3776.98275,0.769728791161
3781.905459,0.780763143571
3787.08546,0.773272849679
3792.004752,0.775226020894
3796.922376,0.773059206713
3802.097018,0.767613588549
3807.011211,0.774957903994
3811.92373,0.772163706895
3817.092991,0.775068626142
3822.002066,0.777782380755
3826.90946,0.777706677249
3832.073319,0.778858228368
3836.977255,0.776752793528
3841.879503,0.778415219021
3847.037939,0.774812633807
3851.936716,0.778239850321
3856.833799,0.771097958474
3861.98679,0.776063508642
3866.880388,0.773666707943
3871.772285,0.7707052268
3876.919811,0.775701011323
3881.80821,0.773492745205
3886.952049,0.772530045132
3891.836941,0.778949001364
3896.720121,0.766911392196
3901.858459,0.777558586775
3906.738118,0.769153215569
3911.872746,0.768754401367
3916.748876,0.771169439478
3921.879783,0.769755291335
3926.752374,0.771534035171
3931.879551,0.767502881081
3936.748595,0.763100307931
3941.872033,0.768464428277
3946.737519,0.772800297457
3951.857209,0.762738234007
3956.71913,0.767237517775
3961.835061,0.761043373742
3966.693407,0.767625651813
3971.805571,0.757950744483
3976.660333,0.753378005048
3981.76872,0.759288579756
3986.619889,0.762428340353
3991.724489,0.754520904658
3996.572057,0.752677451721
4001.672861,0.743581055545
4006.771714,0.745528261478
4011.613816,0.744383955224
4016.708859,0.738781608409
4021.547337,0.739256713639
4026.63856,0.734566615076
4031.727821,0.731903833979
4036.560798,0.720845621656
4041.646225,0.724252803071
4046.475556,0.724964335075
4051.557139,0.707893062376
4056.636747,0.701997782532
4061.460544,0.702731437877
4066.536295,0.703785729861
4071.610064,0.696355891819
4076.428306,0.693791747344
4081.498203,0.676655886012
