wavelength_nm,response_relative
399.5,0.99558379836
400,0.995607868596
401,0.995656228518
402,0.995704699655
403,0.995749754996
404,0.995787867529
405,0.995815510245
406,0.995836515
407,0.995855898327
408,0.995871910227
409,0.995882800699
410,0.995886819745
411,0.995885785513
412,0.995883142475
413,0.995879580119
414,0.995875787933
415,0.995872455407
416,0.995869492861
417,0.995866440637
418,0.995863433252
419,0.995860605223
420,0.995858091069
421,0.995855605005
422,0.995853020754
423,0.995850712092
424,0.995849052793
425,0.995848416632
426,0.995889381462
427,0.995992935105
428,0.996130066288
429,0.996271763741
430,0.996389016193
431,0.996494398739
432,0.996607791031
433,0.996711138636
434,0.996786387117
435,0.996815482041
436,0.996814446769
437,0.996811801076
438,0.996808235141
439,0.996804439146
440,0.996801103271
441,0.996798227517
442,0.996795351763
443,0.996792476009
444,0.996789600255
445,0.996786724501
446,0.996783848747
447,0.996780972993
448,0.996778097239
449,0.996775221485
450,0.996772345731
451,0.996769469977
452,0.996766594223
453,0.996763718469
454,0.996760842715
455,0.996757966961
456,0.996755091207
457,0.996752215453
458,0.996749339699
459,0.996746463945
460,0.996743588191
461,0.996740712437
462,0.996737836683
463,0.996734960929
464,0.996732085175
465,0.996729209421
466,0.996726333667
467,0.996723457913
468,0.996720582159
469,0.996717706405
470,0.996714830651
471,0.996711954897
472,0.996709079143
473,0.996706203389
474,0.996703327635
475,0.996700451881
476,0.996697576127
477,0.996694700373
478,0.996691824619
479,0.996688948865
480,0.996686073111
481,0.996683197357
482,0.996680321603
483,0.996677445849
484,0.996674570095
485,0.996671694341
486,0.996668818587
487,0.996665942833
488,0.996663067079
489,0.996660191325
490,0.996657315571
491,0.996654439817
492,0.996651564063
493,0.996648688309
494,0.996645812555
495,0.996642936801
496,0.996640061047
497,0.996637185293
498,0.996634309539
499,0.996631433785
500,0.996628558031
501,0.996625684399
502,0.996622812888
503,0.996619940317
504,0.996617063502
505,0.996614179261
506,0.996611286016
507,0.996608385865
508,0.996605481137
509,0.996602574158
510,0.996599667258
511,0.996596759842
512,0.996593850357
513,0.99659093969
514,0.996588028727
515,0.996585118356
516,0.99658220536
517,0.996579289146
518,0.996576374542
519,0.996573466371
520,0.99657056946
521,0.996567686926
522,0.996564815497
523,0.996561950413
524,0.996559086917
525,0.996556220247
526,0.996553350405
527,0.996550480564
528,0.996547610722
529,0.996544740881
530,0.99654187104
531,0.996539001199
532,0.996536131358
533,0.996533261517
534,0.996530391677
535,0.996527521837
536,0.996524192823
537,0.996520404634
538,0.996516846033
539,0.996514205781
540,0.996513172639
541,0.996515903934
542,0.996523014335
543,0.996532878611
544,0.996543871534
545,0.996554367874
546,0.996564831325
547,0.996576472539
548,0.996588786725
549,0.99660126909
550,0.996613414845
551,0.99662522399
552,0.99663703305
553,0.996648842028
554,0.996660650922
555,0.996672459733
556,0.99668426846
557,0.996696077104
558,0.996707885665
559,0.996719694143
560,0.996731502537
561,0.996743310847
562,0.996755119075
563,0.996766927219
564,0.996778735279
565,0.996790543256
566,0.99680235115
567,0.996814158961
568,0.996825966688
569,0.996837774332
570,0.996849581892
571,0.996861844659
572,0.996874562633
573,0.996887052878
574,0.99689863246
575,0.996908618444
576,0.996918108813
577,0.996927779927
578,0.996936316418
579,0.996942402916
580,0.996944724053
581,0.996943702601
582,0.996941092224
583,0.996937573891
584,0.996933828568
585,0.996930537223
586,0.996927699857
587,0.996924862491
588,0.996922025125
589,0.996919187759
590,0.996916350393
591,0.996913513027
592,0.996910675661
593,0.996907838295
594,0.996905000929
595,0.996902163563
596,0.996899326197
597,0.996896488831
598,0.996893651466
599,0.9968908141
600,0.996887976734
601,0.996885139368
602,0.996882302002
603,0.996879464636
604,0.99687662727
605,0.996873789904
606,0.996870952538
607,0.996868115172
608,0.996865277806
609,0.99686244044
610,0.996859603074
611,0.996856765708
612,0.996853928342
613,0.996851090976
614,0.99684825361
615,0.996845416244
616,0.996842578878
617,0.996839741512
618,0.996836904146
619,0.99683406678
620,0.996831229414
621,0.996828392048
622,0.996825554682
623,0.996822717316
624,0.996819879951
625,0.996817042585
626,0.996814205219
627,0.996811367853
628,0.996808530487
629,0.996805693121
630,0.996802855755
631,0.996800018389
632,0.996797181023
633,0.996794343657
