wavelength_nm,response_relative
371,0.929827022601
371.5,0.9298256816
372,0.9298243406
372.5,0.929822999599
373,0.929821658599
373.5,0.929820317598
374,0.929818976598
374.5,0.929817635597
375,0.929816294597
375.5,0.929814953596
376,0.929813612596
376.5,0.929812271595
377,0.929810930595
377.5,0.929809589594
378,0.929808248594
378.5,0.929806907593
379,0.929805566593
379.5,0.929804225592
380,0.929802884592
380.5,0.929801422901
381,0.92979977347
381.5,0.92979801676
382,0.929796233229
382.5,0.929794503338
383,0.929792907548
383.5,0.929791526317
384,0.929790440107
384.5,0.929789729376
385,0.929789474586
385.5,0.929790178432
386,0.929792221449
386.5,0.929795500855
387,0.929799913868
387.5,0.929805357706
388,0.929811729589
388.5,0.929818926734
389,0.92982684636
389.5,0.929835385684
390,0.929844441926
390.5,0.929857826967
391,0.929878507985
391.5,0.929905115145
392,0.929936278612
392.5,0.929970628549
393,0.930006795121
393.5,0.930043408492
394,0.930079098827
394.5,0.93011249629
395,0.930142231045
395.5,0.930169608021
396,0.930196787804
396.5,0.930223684045
397,0.930250210394
397.5,0.930276280503
398,0.930301808021
398.5,0.9303267066
399,0.93035088989
399.5,0.930374271542
400,0.930396765207
401,0.930441957614
402,0.93048725395
403,0.930529358221
404,0.93056497443
405,0.930590806581
406,0.930610435551
407,0.930628549293
408,0.930643512433
409,0.930653689593
410,0.930657445396
411,0.930656478905
412,0.930654008982
413,0.930650679956
414,0.930647136155
415,0.930644021905
416,0.930641253402
417,0.930638401095
418,0.93063559069
419,0.930632947894
420,0.930630598413
421,0.930628275183
422,0.930625860198
423,0.93062370275
424,0.930622152133
425,0.93062155764
426,0.930659839324
427,0.930756610329
428,0.930884759587
429,0.931017176029
430,0.931126748588
431,0.931225228705
432,0.93133119394
433,0.931427772403
434,0.9314980922
435,0.931525281442
436,0.93152431398
437,0.931521841576
438,0.931518509205
439,0.931514961843
440,0.931511844464
441,0.931509157068
442,0.931506469673
443,0.931503782277
444,0.931501094881
445,0.931498407486
446,0.93149572009
447,0.931493032695
448,0.931490345299
449,0.931487657903
450,0.931484970508
451,0.931482283112
452,0.931479595716
453,0.931476908321
454,0.931474220925
455,0.93147153353
456,0.931468846134
457,0.931466158738
458,0.931463471343
459,0.931460783947
460,0.931458096552
461,0.931455409156
462,0.93145272176
463,0.931450034365
464,0.931447346969
465,0.931444659573
466,0.931441972178
467,0.931439284782
468,0.931436597387
469,0.931433909991
470,0.931431222595
471,0.9314285352
472,0.931425847804
473,0.931423160409
474,0.931420473013
475,0.931417785617
476,0.931415098222
477,0.931412410826
478,0.93140972343
479,0.931407036035
480,0.931404348639
481,0.931401661244
482,0.931398973848
483,0.931396286452
484,0.931393599057
485,0.931390911661
486,0.931388224265
487,0.93138553687
488,0.931382849474
489,0.931380162079
490,0.931377474683
491,0.931374787287
492,0.931372099892
493,0.931369412496
494,0.931366725101
495,0.931364037705
496,0.931361350309
497,0.931358662914
498,0.931355975518
499,0.931353288122
500,0.931350600727
501,0.931347915314
502,0.931345231884
503,0.931342547463
504,0.931339859076
505,0.931337163749
506,0.931334460008
507,0.931331749814
508,0.931329035341
509,0.931326318766
510,0.931323602264
511,0.931320885281
512,0.931318166363
513,0.931315446342
514,0.931312726044
515,0.931310006298
516,0.931307284099
517,0.931304558894
518,0.931301835193
519,0.931299117504
520,0.931296410337
521,0.931293716605
522,0.931291033251
523,0.931288355827
524,0.931285679886
525,0.93128300098
526,0.93128031911
527,0.931277637239
528,0.931274955369
529,0.931272273498
530,0.931269591628
531,0.931266909758
532,0.931264227889
533,0.931261546019
534,0.93125886415
535,0.931256182281
536,0.931253071313
537,0.931249531246
538,0.931246205729
539,0.93124373841
540,0.931242772938
541,0.931245325337
542,0.931251970014
543,0.931261188192
